Otolith radius,59_,80_,81_,82_,83_,84_,85_,86_,87_,89_,90_,91_,92_,93_,94_,95_,96_,97_,98_,99_,100_,101_,102_,103_,104_,105_,106_,107_,108_,109_,110_,111_,112_,113_,114_,115_,116_,117_,118_,119_,120_,121_,122_,123_,142_,178_,181_,182_,183_,184_,185_,187_,188_,189_,190_,192_,194_
286.649937,0.038827013,0.047729312,0.041893404,0.033036654,0.032737896,0.041867347,0.029597717,0.038068101,0.030552844,0.019756777,0.02006293,0.013040875,0.017486373,0.014787023,0.022102259,0.027491462,0.027340462,0.031646549,0.02434749,0.020586296,0.014788169,0.021470241,0.031443951,0.024328011,0.033643448,0.028002326,0.050873086,0.044728397,0.045698941,0.033908787,0.034992681,0.026771582,0.036459648,0.037383877,0.037780325,0.026301462,0.100062106,0.071450138,0.049252515,0.030594513,0.037934907,0.048878561,0.038903477,0.029749117,0.054330433,0.076026095,0.063767901,0.065038435,0.069402109,0.087711102,0.090633432,0.09925134,0.079506653,0.024160947,0.022798257,0.081100941,0.127932609
288.9249365,0.038771727,0.046320242,0.042075987,0.032701944,0.032680499,0.040794253,0.029062594,0.039243979,0.031082619,0.019819926,0.020593153,0.012812645,0.017990888,0.014964832,0.021820651,0.02784258,0.026881225,0.031223635,0.024456725,0.021044651,0.015289679,0.021806628,0.031054812,0.024880028,0.033448758,0.029446718,0.050158129,0.043886193,0.043576076,0.03594161,0.035458824,0.0271276,0.036998451,0.038437488,0.038791343,0.02639889,0.099170778,0.070232915,0.049872058,0.03034269,0.037815933,0.049079063,0.037551118,0.028530567,0.056367137,0.076297051,0.062319843,0.064753081,0.068970358,0.085401969,0.095002017,0.099629688,0.078341909,0.025814525,0.022177714,0.081887622,0.126693764
291.199936,0.039160534,0.045567811,0.042212001,0.032767171,0.032623296,0.04011099,0.028564063,0.039923975,0.031620054,0.019716627,0.020861705,0.012716526,0.018560436,0.015282892,0.021532944,0.027317666,0.026845526,0.031081935,0.024517682,0.021245719,0.015834574,0.02212829,0.030210806,0.025259296,0.033482481,0.030914082,0.049405655,0.042246777,0.041216018,0.03733697,0.035864702,0.028039529,0.037604521,0.040079958,0.038407899,0.026378963,0.096688442,0.069458235,0.050368016,0.029975415,0.036881167,0.04887364,0.036277559,0.026956883,0.057853171,0.076329775,0.061243976,0.063865608,0.069402846,0.083318831,0.094280956,0.100155916,0.078459942,0.027684606,0.021597802,0.082645519,0.130413132
293.4749355,0.039548882,0.045242613,0.042360515,0.033110671,0.032310938,0.041247055,0.028114784,0.04060586,0.032037483,0.019587169,0.020389285,0.012605617,0.018863165,0.015580003,0.021345724,0.027004409,0.026482358,0.031028202,0.024305717,0.021285583,0.016026593,0.022139945,0.029273497,0.025252743,0.033165476,0.03254577,0.047357685,0.040131811,0.038989577,0.038578575,0.036008373,0.029030404,0.037871271,0.042005869,0.03759107,0.026367983,0.094160262,0.069987002,0.050026494,0.029942942,0.035989592,0.049013581,0.0350897,0.02566528,0.058042518,0.076655208,0.060433668,0.063713784,0.069659102,0.08133901,0.091275413,0.099668152,0.07857719,0.028493231,0.021338976,0.08334305,0.131487536
295.749935,0.039681109,0.045813172,0.042505782,0.033398604,0.03195787,0.043228726,0.027915573,0.039860411,0.032458412,0.018997333,0.019900511,0.012884295,0.018792838,0.015526953,0.021306478,0.026540072,0.02598124,0.030806503,0.023626148,0.021318416,0.015958063,0.022006542,0.028897097,0.024261898,0.032852895,0.034291475,0.044850719,0.038124663,0.037624548,0.03966726,0.035820364,0.030039595,0.037812387,0.044423753,0.036526642,0.026346943,0.089537236,0.073082294,0.050074147,0.030276761,0.035112145,0.049052426,0.034084503,0.024487055,0.056086873,0.077599703,0.061497032,0.063659475,0.069534517,0.079773362,0.095002017,0.099462908,0.078693662,0.028422288,0.021195786,0.084049357,0.128197047
298.0249345,0.038917177,0.045920317,0.042706871,0.033676164,0.031653968,0.045177964,0.027864364,0.039118672,0.032375413,0.018379195,0.019393295,0.013094834,0.018568504,0.015473797,0.021197181,0.026227139,0.0255035,0.030911436,0.022954376,0.021288497,0.015771986,0.021671593,0.028358953,0.023220201,0.032803688,0.035076496,0.043579774,0.037056449,0.037627233,0.039404713,0.035496096,0.031043827,0.037793848,0.047637451,0.035523389,0.026314356,0.086826329,0.075529178,0.049595182,0.030536104,0.034279921,0.048167286,0.034040452,0.023371018,0.054535837,0.078839486,0.062798289,0.064609569,0.069183675,0.079173832,0.094523625,0.098679687,0.078173716,0.027215659,0.021495516,0.083773783,0.124288742
300.299934,0.037826439,0.045595144,0.042982474,0.033772711,0.031819913,0.047503361,0.028653839,0.038380613,0.032264147,0.01764455,0.018811141,0.013413393,0.018166614,0.015746764,0.021099007,0.025760276,0.025385605,0.031228307,0.022202313,0.021270399,0.015530619,0.021501768,0.027388267,0.022112199,0.032650526,0.036333518,0.044701881,0.037071226,0.037522588,0.039843018,0.035137956,0.032097201,0.038003187,0.048769339,0.034262362,0.026259438,0.08407315,0.077253084,0.049431487,0.030905301,0.033701683,0.047276928,0.034026276,0.022345701,0.053118441,0.0805787,0.064168969,0.065876627,0.069209372,0.078616254,0.096130932,0.09783094,0.078296486,0.025398831,0.021811122,0.081439924,0.119846553
302.5749335,0.037018719,0.045402839,0.04344082,0.034081745,0.03289529,0.0486875,0.029464955,0.037914027,0.031853974,0.016880442,0.018283631,0.013753001,0.017786555,0.015365598,0.020800439,0.025629391,0.026159111,0.03154661,0.021494796,0.021247799,0.015240615,0.021315308,0.026113132,0.021175463,0.032468406,0.03664008,0.04655183,0.037834657,0.038689811,0.038541539,0.034753692,0.033221717,0.037636134,0.04924905,0.032837804,0.0262357,0.083979901,0.079092754,0.048445046,0.031316506,0.033182831,0.046356959,0.034011967,0.021853966,0.052922554,0.082336174,0.065606663,0.066582196,0.070367775,0.078055306,0.089957113,0.097740797,0.078601258,0.023558115,0.022139831,0.079157263,0.114991586
304.849933,0.037066554,0.044380641,0.044122252,0.03440926,0.033156695,0.047124905,0.030283917,0.037181614,0.031707143,0.016184358,0.018000423,0.014069934,0.018249366,0.01525797,0.020311653,0.025697672,0.027405976,0.031866356,0.021017356,0.021170964,0.015007106,0.021132223,0.025257648,0.020364639,0.032288619,0.036584812,0.049361376,0.038516514,0.039351013,0.037605362,0.034376668,0.033993739,0.037496401,0.047539318,0.031659014,0.026237578,0.08588992,0.080664893,0.048017143,0.031696533,0.032733936,0.045452757,0.034168011,0.021348244,0.053096916,0.082177986,0.066496865,0.066784831,0.072037695,0.077461882,0.089957113,0.097684385,0.079322804,0.022426986,0.022468278,0.077146545,0.108194004
307.1249325,0.036857414,0.042911088,0.045110327,0.034824909,0.033221174,0.045478896,0.031136116,0.03596272,0.031562599,0.015936777,0.017945014,0.014552246,0.018800646,0.015151237,0.019766679,0.026226746,0.02910709,0.031721797,0.020701525,0.021205009,0.014821186,0.021293088,0.024777328,0.019696594,0.031580086,0.03674951,0.052076358,0.038437778,0.039638901,0.037339559,0.034039066,0.033979871,0.036891239,0.045242153,0.03133887,0.026166128,0.087143148,0.08171914,0.047645757,0.032157607,0.032862518,0.045175979,0.034105389,0.021215907,0.053659187,0.082153059,0.066830337,0.065910629,0.072515962,0.076484054,0.089957113,0.097812412,0.07998808,0.022303487,0.022910837,0.075082258,0.101839953
309.399932,0.037049288,0.041562523,0.04642635,0.034552915,0.03374145,0.04309064,0.031577491,0.034783943,0.031446001,0.015736313,0.018211179,0.015065623,0.019453489,0.015086171,0.019303764,0.026573072,0.030907535,0.031490913,0.020992571,0.021306966,0.014670048,0.021607502,0.025215954,0.019307939,0.031275735,0.036715532,0.055000743,0.038614784,0.040903104,0.037589656,0.033823993,0.033738685,0.036577885,0.042905493,0.031095484,0.026089338,0.089049103,0.081558464,0.047584826,0.032281809,0.032854117,0.044090572,0.033859529,0.020776778,0.054959752,0.082128347,0.066120827,0.065045243,0.072658912,0.076486783,0.093427674,0.098093158,0.080707158,0.02291055,0.023628213,0.073066951,0.100148118
311.6749315,0.037501793,0.040144419,0.04809071,0.034270377,0.034308617,0.040705421,0.031875549,0.033765516,0.031328231,0.016220531,0.018322078,0.015282284,0.02032173,0.015214355,0.018981202,0.027091394,0.03231686,0.03143179,0.021756608,0.021385816,0.01468138,0.02233289,0.025945989,0.019468517,0.030969887,0.036155413,0.05822636,0.038182124,0.041148557,0.037398394,0.033926776,0.033503836,0.03624077,0.041414477,0.030710654,0.026270487,0.089948992,0.079379052,0.048053027,0.032429027,0.032879531,0.043127256,0.033451316,0.02015114,0.055841885,0.080571626,0.06528077,0.064816167,0.072261571,0.077132984,0.100697564,0.097898059,0.0809862,0.024097163,0.024197036,0.071098899,0.099312685
313.949931,0.038561874,0.040210043,0.049986624,0.034050744,0.034983415,0.039398886,0.032175597,0.033037392,0.031431304,0.017177837,0.018265268,0.015747816,0.020618419,0.015387304,0.018724291,0.02727141,0.033344224,0.031797875,0.022533819,0.021435116,0.014734233,0.023146582,0.026824224,0.019652424,0.030662532,0.035143995,0.06012149,0.036976164,0.040644839,0.038275557,0.033907612,0.033263871,0.03586313,0.039380095,0.030287998,0.026498911,0.090370078,0.07786156,0.049000674,0.032572477,0.032918346,0.04278419,0.033346818,0.019667667,0.054587305,0.077550132,0.064197775,0.065222526,0.072635708,0.07844576,0.100697564,0.096312103,0.081618758,0.026205476,0.024785115,0.069976872,0.101192993
316.2249305,0.039705417,0.041066789,0.051937523,0.033927219,0.035140135,0.038262411,0.031844683,0.032242014,0.03111576,0.018384702,0.018125353,0.016034637,0.020649025,0.015534405,0.018530077,0.027214493,0.033717827,0.032166874,0.023351765,0.021388557,0.014727724,0.023823286,0.028106599,0.020026467,0.030807798,0.033228888,0.05981988,0.035555689,0.040478134,0.038521281,0.03428089,0.032636749,0.035194961,0.040009373,0.02988149,0.026551818,0.090802604,0.076354357,0.049228923,0.032730409,0.032876338,0.042577486,0.033538027,0.019222971,0.053046046,0.074244511,0.063153417,0.066651371,0.072008851,0.079790276,0.100697564,0.095087216,0.081595936,0.028268992,0.025481269,0.070206288,0.105544697
318.49993,0.039939184,0.042276045,0.053676348,0.033373598,0.034178427,0.038760178,0.031863347,0.031216425,0.030586223,0.019602537,0.017987069,0.016187534,0.02065325,0.015694014,0.018499258,0.026587708,0.033627488,0.032538822,0.024095486,0.021050189,0.014576217,0.024368102,0.029526553,0.020336904,0.031017352,0.031684978,0.058301099,0.034147464,0.039808188,0.039407136,0.034366885,0.031815157,0.035147876,0.043188873,0.029708279,0.027096577,0.091271535,0.075119351,0.050321474,0.032830462,0.033126671,0.042162565,0.033729916,0.018490166,0.050682808,0.07100702,0.06265644,0.068207754,0.072005911,0.081360313,0.108684986,0.094975001,0.081112372,0.029311594,0.026180503,0.070436085,0.109166102
320.7749295,0.039832861,0.044238391,0.055269019,0.032754146,0.034121059,0.040464466,0.03190665,0.03090958,0.029971542,0.020754395,0.017663979,0.016296504,0.019870769,0.015774063,0.018809748,0.025870426,0.032467675,0.03295393,0.024122582,0.020770441,0.014372294,0.02492804,0.031083916,0.020299109,0.030658208,0.030331814,0.057104648,0.033591649,0.039696181,0.040240071,0.034900438,0.031112469,0.034501057,0.048519445,0.029444643,0.027128135,0.089529844,0.074194356,0.05105734,0.032930935,0.033377675,0.042126016,0.034084285,0.017800628,0.048565629,0.069174737,0.062277081,0.069677227,0.070811453,0.083478162,0.109404532,0.093623726,0.080197865,0.028614499,0.026897189,0.070666266,0.112860408
